lat,lon,psi
55.209, -147.83, 0
55.255, -147.47, 0
55.3, -147.11, 0
55.344, -146.75, 0
55.386, -146.38, 0
55.427, -146.02, 0
55.467, -145.65, 0
55.505, -145.29, 0
55.542, -144.92, 0
55.578, -144.55, 0
55.612, -144.19, 0
55.645, -143.82, 0
55.677, -143.45, 0
55.707, -143.08, 0
55.736, -142.71, 0
55.764, -142.33, 0
55.79, -141.96, 0
55.815, -141.59, 0
55.839, -141.22, 0
55.861, -140.84, 0
55.882, -140.47, 0
55.901, -140.09, 0
55.92, -139.72, 0
55.936, -139.34, 0
55.952, -138.96, 0
55.966, -138.59, 0
55.978, -138.21, 0
55.989, -137.83, 0
55.999, -137.46, 0
56.007, -137.08, 0
56.014, -136.7, 0
56.02, -136.32, 0
56.024, -135.95, 0
56.027, -135.57, 0
56.028, -135.19, 0
56.028, -134.81, 0
56.027, -134.43, 0
56.024, -134.05, 0
56.02, -133.68, 0
56.014, -133.3, 0
56.007, -132.92, 0
55.999, -132.54, 0
55.989, -132.17, 0
55.978, -131.79, 0
55.966, -131.41, 0
55.952, -131.04, 0
55.936, -130.66, 0
55.92, -130.28, 0
55.901, -129.91, 0
55.882, -129.53, 0
55.861, -129.16, 0
55.839, -128.78, 0
55.815, -128.41, 0
55.79, -128.04, 0
55.764, -127.67, 0
55.736, -127.29, 0
55.707, -126.92, 0
55.677, -126.55, 0
55.645, -126.18, 0
55.612, -125.81, 0
55.578, -125.45, 0
55.542, -125.08, 0
55.505, -124.71, 0
55.467, -124.35, 0
55.427, -123.98, 0
55.386, -123.62, 0
55.344, -123.25, 0
55.3, -122.89, 0
55.255, -122.53, 0
